vid,itag,chunk
-6xgdZVDcNI,247/251,2118843/1770849/1227614/2296035/3610583/4051371/1738440/2727247/3052483/2853644/3918255/2714644/2453775/3553884/3736347/3201181/3340143/3135607/2952852/1127/1041/1276/2833713/2984406
01GCYVvJLRY,398/251,2057474/1552686/1399684/1168908/506256/721159/1039892/517348/413220/748640/1229780/704146/510961/429406/781385/779759/430677/845921/724953/1508367/1081886/961729/1002492/453640/220718/408416/683579/313728/510085/498680/394060/351356/336554/387187/541508/525369/541362/448731/337409/766439/390851/820948/189228/630624/220476/718675/305929/586512/413790/743276/437861/582170/370033/666915/527016/620672/683505/441155/718856/336011/560890/255860/594615/555805/526634/420300/379382/410365
0B3c1lYe5wY,398/251,1697282/505603/570228/414102/810179/1161975/237521/566326/325497/849154/335742/770910/743348/746309/592657/507765/561347/1026459/465814/857075/381670/857698/298371/870726/570506/203667/784855/472320/338687/203573/305917/74847/350944/71101/429696/348992/211735/296912/129114/378633/249683/375392/128095/450026/616196/342467/356958/168707/374178/235168/331195/251653/423904/234194/470238/495604/317704/219978/415718/563588/346199/387802/319155/313523/177489/290843/204498/345731/52751
0D6RjjrIClg,398/251,1769625/2046953/2536466/2393934/2240532/2652268/2164543/3206158/3103043/2179649/1605713/722838/335441/509426/597403/603630/560588/828658/799467/785382/634612/556418/666967/708870/744894/583698/860214/873587/808805/190355/781007/743177/773143/273472/751834/402808/512459/493080/380046/858041/506752/367131/293340/221165/502698
0M34iwQkYz4,398/251,1879942/4122308/3202982/2867624/2614301/1991174/2340900/2204194/2389057/3027038/2652714/2339873/2286738/2103370/2958498/3023935/2684219/2134468
0RmCt3w3oIs,398/251,3156502/763344/726456/914687/1293270/1120339/1110594/850760/1468400/1832451/782327/1327073/1693800/1664277/1650688/822625/811375/852237/513894/1542407/1816951/1717051/698008/2038679/940804/1611998/799169/688398/447100/820298/838078/682760/583607/987716/838256/633236/497037/869793/428717/777859/721811/656721/898335/897670/519878/1011097/831856/669530/635338/709587/1055878/727695/838819/1106445/639949/742004/897952/542327/692205/767749/280044/492512/617374/467401/469333/519850/441533/523110
1d8ly3Lp3Mo,247/251,2067503/510212/800273/467704/1145062/450423/1028771/917592/965118/795747/1108446/768613/1014527/886327/726955/815936/1091313/258407/810235/275330/681482/392474/528662/567409/1282831/315862/627154/948379/539828/652652/566647/457615/428373/473017/1054678/723845/746765/1191692/376393/601566/813294/859529/466952/775160/584923/695634/502712/1499192/1321866/1264771/744133/652787/1477820/589449/508882/1074540/853894/865453
2oPcgifcEb8,247/251,2951799/2768433/3158792/1366221/999953/528520/337974/485201/1361282/807652/798876/649353/775559/768394/835729/283846/1394244/1450312/1422968/1331740/2345613/2942174/3380076/2270083/3482748/1899069/2613784/2159232
2yQOFJk9dB4,398/251,2178816/2788453/2509228/2750604/2501828/2390927/1752438/1107329/1030427/619214/134118/564758/659820/516433/493643/136873/787066/2307399/2640797/2308222/2070629/2304184
31XOyv_JxJ0,247/251,1871593/1653980/1635642/1798419/1565187/2452821/3202499/2588907/3667070/2748743/3060314/2000986/2251036/2061490/628224/695727/440878/561885/438361/546563/492180/672716/390086/545052/437390/400806/533364/330842/550471/459481/635234/479686/553443/410876/646195
39gQb3Zu_EU,247/251,2040406/2482476/2031796/680793/482905/1186993/1472839/532562/1127180/917075/950407/1449371/721786/722638/586978/654045/675213/596995/755663/1305475/1619971/570170/458446/786831/423757/446445/453766/451786/755234/643901/680090/539899/752927/750538/660206/706919/470745/627130/578922/732440/738908/573109/996978/851220/847756/822887/648595/748680/528468/878374/854863/989956/1131098/926344/852906/644007/681158/692174/403387/706044/746607/790950/628563
3ZI0eMUroRo,398/251,4121858/3281069/3195233/4055315/2178742/961692/4195878/2848392/1650997/5072120/5073257/5301925/3609834/4486019/5234517/4699334/5108505/4293321/2871412/1216801/3054236
3ZuUDVSMld0,247/251,2667753/697549/1794832/1255946/1239719/449507/1288615/715776/1336294/1149632/1145376/1263766/761936/578573/1289995/1272195/1269968/656935/567581/1236586/1285677/1192841/1197279/1135188/675976/528977/700996/546407/704382/529897/580285/371822/678697/580477/669325/501151/684802/536943/665302/514935/655920/443763/615301/518152/639802/530324/675933/508957/642611/506988/569392/419483
4UIAt2qjRiw,398/251,2712971/619577/1690160/637109/1476363/963491/1845668/607193/1865966/1157371/1190924/602033/1610750/1151463/968210/776869/1681665/456160/661954/1399210/1254023/1099444/1109615/589074/1894162/975234/1246552/374782/1027992/1097940/511055/582828/189059/1152070/747434/637864/399658/1028784/837385/544351/952587/553481/567727/737828/843850/461139/669707/795779/592259/992480/1007533/680097/783478/1018644/743027/728511/952341/1040153
