url,time,flow,chunk
-a8L9S_rnoM,2024_11_29_07_26,192.168.38.62:51855-142.251.84.40:443,591600/171595
-a8L9S_rnoM,2024_11_29_07_26,192.168.38.62:51912-173.194.4.71:443,1655594/869456/502204/798336/928064/905862/512249
-a8L9S_rnoM,2024_11_29_07_26,192.168.38.62:51937-142.251.84.41:443,591147/587526/131379/671725/890648/521998/734542/498741/414144/812380/725306/972808/678137/564200/510854/218920/1025428/967056/732323/566881/481929/268860/485325/16563/305721/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733306/257762/460763
-a8L9S_rnoM,2024_11_29_07_26,192.168.38.62:51977-74.125.96.73:443,2008586/1050394/639294/943926/1120206/704453/1145487/1095462/1093842/1250080/1271841
-a8L9S_rnoM,2024_11_29_07_37,192.168.38.62:52055-142.251.84.41:443,1053892/591147/718813/295498/890648/469325/734542/718853/1006320/1151759/503178/678137/564200/768768/729754/792749/902140/643516/559202/561281/485325/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733306/257762/460762
-a8L9S_rnoM,2024_11_29_07_37,192.168.38.62:52190-142.251.84.41:443,990977/758899/729241/743750/953733/951200/779704/612925/963304/929825/624693/175201/256776/435124/194308/446935/85315/314780/162871/657335/290373/553847/458459/527450/658724/313552/246595/301291/462764/76010/578557/418064/49848/194671/134231/244754/102212
-a8L9S_rnoM,2024_11_29_07_48,192.168.38.62:52271-142.251.84.73:443,591615/813322
-a8L9S_rnoM,2024_11_29_07_48,192.168.38.62:52326-173.194.4.168:443,1462339/1326920/1225378/1433319/1009755/1081953/1265831/1299121
-a8L9S_rnoM,2024_11_29_07_48,192.168.38.62:52338-173.194.4.8:443,591147/718813/671725/1042885/597078/16574/262328/49331/65715/32947/814902/1113221/732323/566881/481929/268860/485325/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669
-a8L9S_rnoM,2024_11_29_07_48,192.168.38.62:52360-173.194.4.8:443,339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733307/257763/460763
-a8L9S_rnoM,2024_11_29_07_48,192.168.38.62:52383-74.125.101.168:443,1512460/1074914/396756
-a8L9S_rnoM,2024_11_29_07_58,192.168.38.62:52485-142.251.84.41:443,1053892/591147/718813/671725/890648/521998/734542/718853/642293/534555/767949/993715/970632/474371/729754/295853/902140/643516/559202/561281/485325/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733306/257762/460762/959939/1023588/338829/394202/297334/335594/424924/710817/813073/990977/758899/729241/521829/222014/953733/1022034/1058402/746941/849474/929825/799801/106552/585348/367403/273840/85315/314780/162871/657335/290373/553847/458459/527450/658724/313552/246595/301291/462764/76010/578557/418064/49848/194671/134231
-a8L9S_rnoM,2024_11_29_08_09,192.168.38.62:52666-74.125.96.73:443,354621/1050391/639291/943923/785372/675896/1260537/1191813/1170779/1299816/989251
-a8L9S_rnoM,2024_11_29_08_09,192.168.38.62:52748-173.194.4.8:443,591147/718813/671725/972654/597078/830895/572739/812380/954769/993715/651928/556367/474371/729754/792749/902140/643516/559202/561281/485325/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/239843/346003/364907/244341/568825/733307/257763/460763
-a8L9S_rnoM,2024_11_29_08_20,192.168.38.62:52871-173.194.4.8:443,1053892/591147/587526/131379/671725/890648/521998/734542/498741/220204/1006320/971153/267827/678137/564200/768768/729754/792749/902140/643516/559202/561281/485325/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271866/336275/604521/537807/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733306/257762/460762/1058258/1023589/338829/71530/104701/212429/208130/460774/114868/32948/245940/990977/477234/729241/743750/953733/1022034/1048567/901245/849474/929825/799801/106552/585348/367403/273840/85315/314780/162871/657335/290373/553847/458459/527450/658724/313552/246595/301291
-a8L9S_rnoM,2024_11_29_08_20,192.168.38.62:52979-74.125.101.167:443,1329548/934190/913644/310245/817145/767344
-a8L9S_rnoM,2024_11_29_08_30,192.168.38.62:53070-142.251.84.41:443,1036359/591147/718813/671725/1722776/677673/731409/653710/971153/503178/678137/564200/768768/991990/1682816/566881/481929/754093/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/568824/733306/257762/460762
-a8L9S_rnoM,2024_11_29_08_30,192.168.38.62:53071-74.125.101.168:443,911222/391402/396753
-a8L9S_rnoM,2024_11_29_08_30,192.168.38.62:53170-142.251.84.72:443,1473053/597955/554746/445897/1099609/272732
-a8L9S_rnoM,2024_11_29_08_30,192.168.38.62:53186-142.251.84.38:443,1369451/1050394/639294/943926/785375/675899/1048606/1109886/1170782/1070356/989254
-a8L9S_rnoM,2024_11_29_08_41,192.168.38.62:53271-142.251.84.41:443,1053892/591147/587526/131379/671725/890648/521998/734542/718853/970065/971153/503178/678137/564200/768768/729754/295766/1032592/732323/566881/481929/754093/214508/360074/338095/309692/371999/164707/423528/559785/505419/284032/271861/336275/442659/699669/279486/339025/676582/207358/363241/445849/422217/68620/270300/165067/229226/71442/225983/104700/230985/185173/239842/346002/364906/244340/733306/257762/16563
