vid,itag,contentlength,seg_num,seg_list
-6xgdZVDcNI,136/251,134104636,170,150978/1293107/926828/160645/859307/1083097/159989/753409/780561/155673/698115/489491/140641/318867/652580/131915/703922/690976/141807/733096/796182/141199/766317/1132768/119001/1353334/1330145/120322/1317852/1347378/122718/1339826/1335009/116906/1311798/1344952/118867/331121/409835/121717/1346942/1104670/128414/1319736/1339539/137061/1025975/1308689/123076/1357112/1190229/131641/1289693/1303347/125804/1150802/1401543/130293/1362242/1362865/133461/1350617/1316950/138758/1374804/1162016/145390/630517/815147/137694/1384084/1353433/140267/715015/1153802/136985/1227449/1364531/129623/1372737/1367626/132260/1313940/1347514/156193/1281895/1322065/128108/1377938/1357108/154481/1324861/1309721/145075/1310801/425401/126828/690741/1341310/128302/1305525/1359997/151098/1347575/1345726/139403/1304267/1314995/131965/1360022/1362992/126640/1329119/1378719/124314/1326984/116434/1261763/1295660/126535/1355443/1424117/140723/1360782/1327962/148096/1401150/1365982/142482/1396972/1381298/129435/1343999/783785/136409/508518/1271989/151328/1382886/1311119/153257/1373676/1383063/150736/1313668/1335542/129568/1390774/1023907/119913/1260469/937887/136568/1312245/1129039/164187/434475/652692/164823/576316/582053/162232/687086/554200/165984/624701/821611/164915/735516/60776
-6xgdZVDcNI,247/251,77389396,170,150978/643204/367443/160645/372542/419367/159989/332448/414217/155673/332076/235091/140641/221515/415985/131915/457746/450593/141807/488857/527163/141199/426696/638253/119001/976803/894546/120322/857276/916845/122718/824218/976343/116906/975715/568753/118867/224816/272942/121717/671465/581696/128414/626199/564246/137061/565805/576615/123076/686690/645043/131641/755655/818678/125804/604634/620918/130293/808924/947284/133461/850027/949458/138758/753114/718933/145390/369663/460304/137694/750065/733310/140267/455084/699354/136985/565547/790156/129623/800856/789276/132260/754764/824142/156193/837633/815266/128108/830869/711642/154481/879749/812320/145075/796968/301300/126828/430432/1154282/128302/1047153/772116/151098/506451/853458/139403/731552/585555/131965/658358/690174/126640/650635/718243/124314/662017/116434/688542/764426/126535/755143/543195/140723/565362/704609/148096/640643/668918/142482/649490/638658/129435/837266/415370/136409/320717/639365/151328/721651/737750/153257/729043/793636/150736/798007/676168/129568/622122/431477/119913/630148/512225/136568/501910/389924/164187/228018/269043/164823/249030/277026/162232/305722/249639/165984/271633/338870/164915/327814/51676
01GCYVvJLRY,136/251,33855761,134,167976/370053/277575/605925/168309/389367/160993/273788/327734/150977/315499/249456/150372/237413/344207/150829/158171/212793/160043/300598/226971/162515/506222/248112/161956/412025/158587/231356/362614/165786/148477/282264/160819/387149/372430/156641/464635/159317/241336/338253/144362/175101/296519/165270/207491/217826/149779/330078/246862/165326/209269/174531/194202/146878/212161/408525/167633/214899/334237/171121/362397/164792/381987/270635/148808/226937/362451/164697/205232/146973/162863/357608/340498/164774/241261/163334/251620/210224/168836/350628/109135/158891/258372/180894/160315/354855/214518/164577/348167/163967/164225/221010/574174/161420/212634/428998/163266/119866/320719/170995/126936/436283/172486/312635/270673/292741/167555/478877/166478/318235/303844/169247/247517/362195/165950/399643/359171/171289/349691/169937/356126/388950/172916/221066/287901/168809/151712/384159/369997/169744/209162/320992/171975/214687
01GCYVvJLRY,247/251,38768461,134,167976/445169/324619/552706/168309/446631/160993/306356/376897/150977/395899/332349/150372/249267/417861/150829/196539/256787/160043/359147/280199/162515/548743/301936/161956/509737/158587/317129/382985/165786/180286/319189/160819/452505/456135/156641/523054/159317/300025/368480/144362/196604/332365/165270/270952/255825/149779/389162/298657/165326/252367/211842/240773/146878/254575/481854/167633/262106/388645/171121/402913/164792/386994/307290/148808/291357/442910/164697/234060/170217/162863/380786/418158/164774/269247/163334/298980/259800/168836/406947/145083/158891/291939/204647/160315/472747/293985/164577/453064/220359/164225/290885/678399/161420/287518/574728/163266/144921/379866/170995/158840/487012/172486/316410/351905/340812/167555/557463/166478/382357/400577/169247/298304/446998/165950/469503/423983/171289/420792/169937/475894/506985/172916/269067/340053/168809/203439/379368/470835/169744/288356/361282/171975/243506
01GCYVvJLRY,398/251,42924629,134,167976/445972/367517/508184/168309/395457/160993/359651/453198/150977/427323/344398/150372/236692/516857/150829/250833/317266/160043/440310/343471/162515/558928/370301/161956/510636/158587/351291/413035/165786/223282/364181/160819/512835/559931/156641/544549/159317/366328/429216/144362/228463/387292/165270/316918/312698/149779/430492/359952/165326/320271/287538/290171/146878/327547/501334/167633/340179/461159/171121/455568/164792/433772/378783/148808/319100/518324/164697/290505/220537/162863/408230/518532/164774/313542/163334/346474/329571/168836/393874/192198/158891/336368/226605/160315/541317/360519/164577/541171/284233/164225/337223/604742/161420/390665/657405/163266/189047/459351/170995/220295/545911/172486/305743/418684/413604/167555/576520/166478/437675/412646/169247/369847/500687/165950/526826/449110/171289/513295/169937/440969/545662/172916/335825/391808/168809/255679/424598/555614/169744/354386/420114/171975/276594
0B3c1lYe5wY,136/251,34282670,130,172305/29177/889381/167692/397282/173035/224413/160299/42931/210331/144360/347860/185515/151933/841732/912903/155615/165238/145394/378352/290404/153622/200354/143591/149432/498023/606042/140646/369476/262336/158496/604824/278413/143845/712243/146541/207865/841927/155549/135285/178016/899319/148551/717396/144492/255398/209163/153602/645830/386257/151239/555496/368769/151129/772189/101730/155478/296603/377279/249430/149703/53423/675343/139226/200203/701865/132934/540675/752994/146839/157430/183255/164849/95732/78203/190309/161208/173942/52239/259214/174756/160545/180604/170219/94245/127022/177811/337402/166569/171439/163910/75698/137802/725263/611099/137867/232343/366875/174484/157585/205618/178673/208523/146313/223022/171181/227423/200756/162769/245257/171002/889016/150657/167305/177145/136962/148080/245658/155781/209527/143805/163924/152001/70350/154043/84003/72186/53499/158741/191414
0B3c1lYe5wY,247/251,37030939,130,172305/97770/503077/167692/584278/340669/471077/160299/115500/474637/144360/354266/343869/151933/531791/514818/155615/326743/145394/341960/494237/153622/393047/291983/149432/437309/414133/140646/374984/391780/158496/432867/373581/143845/520901/146541/278824/496213/155549/209214/255686/504557/148551/545967/144492/538337/418535/153602/548953/360728/151239/465383/311794/151129/513850/182452/155478/268013/254625/477019/149703/80651/520155/139226/301876/453276/132934/418400/473025/146839/235461/331214/164849/188983/108774/190309/242680/173942/104119/354708/174756/232059/180604/269890/147875/183758/177811/279255/301592/171439/314966/158262/137802/519299/630181/137867/398465/235448/174484/212588/279963/178673/308376/237675/339554/171181/349923/310692/162769/348807/171002/512554/218634/167305/285386/319522/148080/499521/155781/473498/309874/383816/152001/200892/154043/236682/157098/363583/158741/436172
0B3c1lYe5wY,398/251,30765200,130,172305/81547/588607/167692/424847/258349/345035/160299/71322/354185/144360/261904/255569/151933/554332/614483/155615/246035/145394/237336/412434/153622/325312/230105/149432/328528/335557/140646/294482/317569/158496/329881/269260/143845/381650/146541/217760/436833/155549/160851/198004/561157/148551/483329/144492/398274/311941/153602/449048/256427/151239/381484/231916/151129/474292/142626/155478/186901/171093/362575/149703/55948/374971/139226/203486/337397/132934/314158/325209/146839/173565/203392/164849/115340/74666/190309/176734/173942/70921/254662/174756/168120/180604/211554/118833/128933/177811/206926/249502/171439/237318/127914/137802/449840/478057/137867/342281/182206/174484/168526/195233/178673/234987/159746/251472/171181/260868/234013/162769/298963/171002/495418/150127/167305/219797/267363/148080/407535/155781/346013/235534/318969/152001/159213/154043/177303/131835/204317/158741/323578
0D6RjjrIClg,136/251,46484045,126,125613/137777/21851/875913/150435/672028/159714/384106/116915/206315/168240/296695/121319/160157/472539/348788/150849/201903/262115/384865/166491/374041/152272/533536/338695/166345/376953/757697/166214/221442/510777/159203/281817/310939/159679/626760/158827/390173/406067/153377/125320/388380/297130/159361/308193/164180/510155/178228/161105/521360/507570/152804/393896/428924/152697/727911/1223214/147676/750807/343436/155622/393923/313534/157133/341471/413191/414099/163831/246876/231042/157659/729897/164159/340711/309067/155882/482933/316341/150140/300854/160641/575814/367452/161100/550711/898729/149098/775670/1349946/148619/600773/835716/150678/615179/818355/149960/719339/823484/149276/1089029/380365/147203/679923/693829/155518/164407/575472/596933/160049/626911/154929/288052/567668/155800/293609/253967/161364/325342/299751/152937/1587527/330200/154302/130432/205293/159790
0D6RjjrIClg,247/251,48728523,126,125613/143924/55532/964008/150435/755032/159714/458859/152693/251985/168240/389080/162611/160157/580402/454919/150849/240374/289134/427295/166491/450070/152272/594649/399525/166345/382435/922720/166214/261186/479201/159203/283275/371765/159679/542640/158827/399852/515409/153377/163487/417574/342281/159361/356180/164180/549997/230054/161105/561331/568559/152804/417112/434961/152697/760043/1090172/147676/800903/320083/155622/489575/312417/157133/370065/443925/451923/163831/295934/230481/157659/742956/164159/402851/331084/155882/585046/313392/150140/298435/160641/628844/408719/161100/533404/863964/149098/790024/1251101/148619/601416/721893/150678/620573/770689/149960/717098/761187/149276/1030589/349783/147203/647988/885023/155518/193937/634961/826651/160049/661017/154929/258689/660700/155800/357316/313153/161364/326919/344517/152937/1154816/391319/154302/159586/251877/201699
0D6RjjrIClg,398/251,46113744,126,125613/106742/36284/738398/150435/608261/159714/444244/182483/306776/168240/423473/201060/160157/595043/450532/150849/262902/331019/426481/166491/490644/152272/581491/415948/166345/413358/722008/166214/282540/516638/159203/297743/421036/159679/582347/158827/413668/532287/153377/194956/456300/366568/159361/433287/164180/596230/283084/161105/636558/587514/152804/414987/411774/152697/701309/753089/147676/619124/375523/155622/516485/361406/157133/374938/496533/438582/163831/307152/239892/157659/678915/164159/437793/332653/155882/572416/335255/150140/348513/160641/597208/442258/161100/560397/679283/149098/650571/785191/148619/483662/556223/150678/516735/708679/149960/595337/583507/149276/712734/341779/147203/531523/653010/155518/190174/620681/742981/160049/617937/154929/273287/595757/155800/402622/350823/161364/339861/379860/152937/857845/352178/154302/223118/293154/220984
